p_bike_types,p_rack_locks,p_spot,p_special_racks,b_state,b_bike_type,p_name,p_uid,trip,p_booked_bikes,p_terminal_type,p_bike_racks,p_place_type,p_bike,p_lng,b_active,b_number,p_address,p_free_racks,b_lock_types,b_boardcomputer,b_electric_lock,city,datetime,p_maintenance,p_bikes,p_free_special_racks,p_lat,b_battery_pack,b_pedelec_battery,p_number
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15278262,first,0,,0,12,True,13.78065,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-03 00:00:00,False,1,0,51.045875555556,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15318451,last,0,,0,12,True,13.780361111111,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-03 23:59:00,False,1,0,51.046191111111,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93772,15269936,first,0,,0,12,True,13.768965555556,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 00:00:00,False,1,0,51.052857777778,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93772,15269936,start,0,,0,12,True,13.768407777778,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 08:51:00,False,1,0,51.052497777778,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93772,15288640,end,0,,0,12,True,13.784557777778,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 08:59:00,False,1,0,51.053066666667,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93772,15288640,start,0,,0,12,True,13.784667777778,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 11:13:00,False,1,0,51.0532,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93772,15293273,end,0,,0,12,True,13.780831111111,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 11:25:00,False,1,0,51.058351111111,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93772,15293273,start,0,,0,12,True,13.781066666667,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 12:51:00,False,1,0,51.058306666667,,,0
"{""71"": 1, ""15"": 2}",False,True,0,ok,15,Fetscherplatz,6768,end,0,,0,0,False,13.771276473999,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 13:11:00,False,3,0,51.046641871977,,,4325
"{""71"": 1, ""15"": 2}",False,True,0,ok,15,Fetscherplatz,6768,start,0,,0,0,False,13.771276473999,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 13:53:00,False,3,0,51.046641871977,,,4325
"{""15"": 1}",False,False,0,ok,15,BIKE 93772,15303479,end,0,,0,12,True,13.758106666667,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 15:28:00,False,1,0,51.030511111111,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93772,15318068,last,0,,0,12,True,13.757977777778,True,93772,,0,frame_lock,7551005252,True,dresden,2019-05-03 23:59:00,False,1,0,51.030493333333,,,0
