p_bike_types,p_rack_locks,p_spot,p_special_racks,b_state,b_bike_type,p_name,p_uid,trip,p_booked_bikes,p_terminal_type,p_bike_racks,p_place_type,p_bike,p_lng,b_active,b_number,p_address,p_free_racks,b_lock_types,b_boardcomputer,b_electric_lock,city,datetime,p_maintenance,p_bikes,p_free_special_racks,p_lat,b_battery_pack,b_pedelec_battery,p_number
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15318451,first,0,,0,12,True,13.780361111111,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-04 00:00:00,False,1,0,51.046191111111,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15318451,start,0,,0,12,True,13.78017,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-04 15:38:00,False,1,0,51.045955555556,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15318451,end,0,,0,12,True,13.78017,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-04 15:45:00,False,1,0,51.045955555556,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15318451,start,0,,0,12,True,13.780212222222,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-04 16:01:00,False,1,0,51.046266666667,,,0
"{""15"": 1}",False,True,0,ok,15,Hochschulstr./Reichenbachstraße,4813110,end,0,free,0,0,False,13.73299062252,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-04 16:21:00,False,1,0,51.033898652818,,,4466
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15340528,start,0,,0,12,True,13.733956666667,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-04 16:35:00,False,1,0,51.034431111111,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15341074,end,0,,0,12,True,13.732645555556,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-04 16:40:00,False,1,0,51.039386666667,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15341074,last,0,,0,12,True,13.732434444444,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-04 16:47:00,False,1,0,51.039013333333,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15317962,first,0,,0,12,True,13.713276666667,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 00:00:00,False,1,0,51.050502222222,,,0
"{""15"": 1}",False,True,0,ok,15,Cottaer Straße (Haltestelle),10299537,start,0,free,0,0,False,13.712477087975,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 10:40:00,False,1,0,51.050166045123,,,4481
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15328894,end,0,,0,12,True,13.696486666667,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 10:48:00,False,1,0,51.053466666667,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15337313,start,0,,0,12,True,13.696341111111,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 15:38:00,False,1,0,51.053328888889,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15337313,end,0,,0,12,True,13.696341111111,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 15:45:00,False,1,0,51.053328888889,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15337313,start,0,,0,12,True,13.696528888889,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 18:21:00,False,1,0,51.053293333333,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15344652,end,0,,0,12,True,13.731664444444,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 18:38:00,False,1,0,51.040177777778,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15344652,start,0,,0,12,True,13.731411111111,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 18:45:00,False,1,0,51.039493333333,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15345138,end,0,,0,12,True,13.716673333333,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 18:55:00,False,1,0,51.036435555556,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15345138,last,0,,0,12,True,13.717151111111,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-04 23:59:00,False,1,0,51.036564444444,,,0
"{""undefined"": 5}",False,True,0,ok,0,DVB Endpunkt Laubegast,264566,first,0,stele,6,0,False,13.838900327682,True,93424,,1,frame_lock,7551002635,True,dresden,2019-05-04 00:00:00,False,5,0,51.022778359957,,,4365
"{""undefined"": 5}",False,True,0,ok,0,DVB Endpunkt Laubegast,264566,start,0,stele,6,0,False,13.838900327682,True,93424,,1,frame_lock,7551002635,True,dresden,2019-05-04 15:38:00,False,5,0,51.022778359957,,,4365
"{""undefined"": 5}",False,True,0,ok,0,DVB Endpunkt Laubegast,264566,end,0,stele,6,0,False,13.838900327682,True,93424,,1,frame_lock,7551002635,True,dresden,2019-05-04 15:45:00,False,5,0,51.022778359957,,,4365
"{""undefined"": 5}",False,True,0,ok,0,DVB Endpunkt Laubegast,264566,last,0,stele,6,0,False,13.838900327682,True,93424,,1,frame_lock,7551002635,True,dresden,2019-05-04 23:59:00,False,5,0,51.022778359957,,,4365
"{""undefined"": 1}",False,False,0,ok,0,BIKE 93101,15318532,first,0,,0,12,True,13.752551111111,True,93101,,0,frame_lock,7551006216,True,dresden,2019-05-04 00:04:00,False,1,0,51.064542222222,,,0
